,repository_name,language
0,alb-oidc-proxy,
1,awesome-postgres,
2,backend-docs,
3,cla-bot,Clojure
4,clojars-metabase,
5,clostache,
6,common,Clojure
7,connection-pool,Clojure
8,CQL,Clojure
9,crate-driver,Clojure
10,dev-scripts,Shell
11,docker-ci-build-image,Dockerfile
12,docker-spark,Dockerfile
13,driver,Clojure
14,druid,Java
15,druid-docker,Shell
16,edumation-embedding-demo,TypeScript
17,financial-modeling-package,Python
18,forego,
19,git-workflow-no-sync,
20,git-workflow-sync,
21,hawk,Clojure
22,homebrew-core,Ruby
23,honeysql-util,Clojure
24,interview-fe-boilerplate,JavaScript
25,jar-compression,Clojure
26,lein-compress-jar,Clojure
27,llm-foundry,Python
28,macaw,Java
29,mba,Clojure
30,mbql,Clojure
31,metabase,Clojure
32,metabase-buildpack,Shell
33,metabase-clojure-mode,Emacs Lisp
34,metabase-deploy,Shell
35,metabase-docker-ci,Dockerfile
36,metabase-heroku,Shell
37,metabase-nodejs-express-interactive-embedding-sample,JavaScript
38,metabase-nodejs-static-embedding-sample,JavaScript
39,metabase-qa,Shell
40,metabase-ruby-static-embedding-sample,Ruby
41,metabase-static-embedding-samples,
42,metabook,Clojure
43,presto-kerberos-docker,Shell
44,presto-mb-ci,Dockerfile
45,react-ace,
46,saml20-clj,Clojure
47,sample-driver,Clojure
48,schema-util,Clojure
49,sdk-kotlin-spring-be-example,Kotlin
50,second-date,Clojure
51,slack-recently-closed-issues-bot,Clojure
52,snowplow-eastwood-issue,Clojure
53,sparksql-deps,Clojure
54,sso-examples,JavaScript
55,static-embedding-reference-apps,PHP
56,sudoku-driver,Clojure
57,terraform-ecs-container-instance-draining,HCL
58,test-data,Clojure
59,throttle,Clojure
60,toucan,Clojure
61,toucan.admin,Clojure
62,util,Clojure
63,webchauffeur,JavaScript
